Pclass_surviving,Pclass_nonsurviving,Sex_surviving,Sex_nonsurviving,Age_surviving,Age_nonsurviving,SibSp_surviving,SibSp_nonsurviving,Parch_surviving,Parch_nonsurviving,Ticket_surviving,Ticket_nonsurviving,Fare_surviving,Fare_nonsurviving,Cabin_surviving,Cabin_nonsurviving,Embarked_surviving,Embarked_nonsurviving
1,3,female,male,38.0,22.0,1,1,0,0,PC 17599,A/5 21171,71.2833,7.25,C85,,C,S
3,3,female,male,26.0,35.0,0,0,0,0,STON/O2. 3101282,373450,7.925,8.05,,,S,S
1,3,female,male,35.0,,1,0,0,0,113803,330877,53.1,8.4583,C123,,S,Q
3,1,female,male,27.0,54.0,0,0,2,0,347742,17463,11.1333,51.8625,,E46,S,S
2,3,female,male,14.0,2.0,1,3,0,1,237736,349909,30.0708,21.075,,,C,S
3,3,female,male,4.0,20.0,1,0,1,0,PP 9549,A/5. 2151,16.7,8.05,G6,,S,S
1,3,female,male,58.0,39.0,0,1,0,5,113783,347082,26.55,31.275,C103,,S,S
2,3,female,female,55.0,14.0,0,0,0,0,248706,350406,16.0,7.8542,,,S,S
2,3,male,male,,2.0,0,4,0,1,244373,382652,13.0,29.125,,,S,Q
3,3,female,female,,31.0,0,1,0,0,2649,345763,7.225,18.0,,,C,S
2,2,male,male,34.0,35.0,0,0,0,0,248698,239865,13.0,26.0,D56,,S,S
3,3,female,female,15.0,8.0,0,3,0,1,330923,349909,8.0292,21.075,,,Q,S
1,3,male,male,28.0,,0,0,0,0,113788,2631,35.5,7.225,A6,,S,C
3,1,female,male,38.0,19.0,1,3,5,2,347077,19950,31.3875,263.0,,C23 C25 C27,S,S
3,3,female,male,,,0,0,0,0,330959,349216,7.8792,7.8958,,,Q,S
1,1,female,male,,40.0,1,0,0,0,PC 17569,PC 17601,146.5208,27.7208,B78,,C,C
3,2,female,male,,66.0,0,0,0,0,335677,C.A. 24579,7.75,10.5,,,Q,S
3,1,male,male,,28.0,0,1,0,0,2677,PC 17604,7.2292,82.1708,,,C,C
3,1,female,male,14.0,42.0,1,1,0,0,2651,113789,11.2417,52.0,,,C,S
2,3,female,male,3.0,21.0,1,0,2,0,SC/Paris 2123,A./5. 2152,41.5792,8.05,,,C,S
3,3,female,female,19.0,18.0,0,2,0,0,330958,345764,7.8792,18.0,,,Q,S
3,3,female,female,,40.0,0,1,0,0,14311,7546,7.75,9.475,,,Q,S
1,2,female,female,49.0,27.0,1,1,0,0,PC 17572,11668,76.7292,21.0,D33,,C,S
2,3,female,male,29.0,,1,0,0,0,2926,349253,26.0,7.8958,,,S,C
1,3,male,male,,,0,0,0,0,19947,S.C./A.4. 23567,35.5,8.05,C52,,S,S
2,3,female,male,21.0,,0,1,0,0,C.A. 31026,370371,10.5,15.5,,,S,Q
2,3,female,male,5.0,,1,2,2,0,C.A. 34651,2662,27.75,21.6792,,,S,C
1,3,female,female,38.0,18.0,0,1,0,0,113572,349237,80.0,17.8,B28,,,S
3,3,male,male,,7.0,1,4,1,1,2661,3101295,15.2458,39.6875,,,C,S
2,3,female,male,29.0,21.0,0,0,0,0,C.A. 29395,A/4. 39886,10.5,7.8,F33,,S,S
3,1,female,male,17.0,65.0,4,0,2,1,3101281,113509,7.925,61.9792,,B30,S,C
3,3,male,male,32.0,28.5,0,0,0,0,1601,2697,56.4958,7.2292,,,S,C
2,3,male,male,0.83,11.0,0,5,2,2,248738,CA 2144,29.0,46.9,,,S,S
3,3,female,male,30.0,22.0,0,0,0,0,364516,2669,12.475,7.2292,,,S,C
3,1,male,male,29.0,45.0,0,1,0,0,345779,36973,9.5,83.475,,C83,S,S
3,3,female,male,,4.0,0,3,0,2,330932,347088,7.7875,27.9,,,Q,S
2,1,female,male,17.0,,0,0,0,0,SO/C 14885,PC 17605,10.5,27.7208,,,S,C
3,3,female,male,33.0,19.0,3,0,0,0,3101278,S.P. 3464,15.85,8.1583,,,S,S
1,3,female,male,23.0,26.0,3,2,2,0,19950,315151,263.0,8.6625,C23 C25 C27,,S,S
1,2,male,male,23.0,32.0,0,0,1,0,PC 17759,C.A. 33111,63.3583,10.5,D10 D12,,C,S
2,3,female,female,34.0,16.0,0,5,1,2,231919,CA 2144,23.0,46.9,,,S,S
3,2,female,male,21.0,21.0,0,0,0,0,343120,S.O.C. 14879,7.65,73.5,,,S,S
3,3,male,male,,26.0,0,1,0,0,312991,2680,7.775,14.4542,,,S,C
3,3,female,male,,25.0,1,0,0,0,371110,348123,24.15,7.65,,F G73,Q,S
2,3,female,male,32.5,,0,0,0,0,27267,349208,13.0,7.8958,E101,,S,S
3,3,male,male,12.0,,1,0,0,0,2651,374746,11.2417,8.05,,,C,S
3,3,male,male,24.0,22.0,0,0,0,0,C 17369,345767,7.1417,9.0,,,S,S
3,1,female,male,,28.0,1,0,1,0,2668,113059,22.3583,47.1,F E69,,C,S
2,3,female,male,29.0,16.0,1,1,0,3,228414,W./C. 6608,26.0,34.375,,,S,S
1,3,female,male,19.0,,0,0,2,0,11752,SOTON/OQ 392086,26.2833,8.05,D47,,S,S
3,3,female,male,22.0,24.0,0,0,0,0,347081,343275,7.75,8.05,,,S,S
3,3,female,male,24.0,29.0,1,0,0,0,STON/O2. 3101279,343276,15.85,8.05,,,S,S
3,3,male,male,27.0,20.0,0,0,0,0,350043,347466,7.7958,7.8542,,,S,S
1,1,female,male,22.0,46.0,1,1,0,0,113776,W.E.P. 5734,66.6,61.175,C2,E31,S,S
